River_type,Year,Quarter,TrspTot_TOTN,TrspTot_NO3-N,TrspTot_TOTP,TrspTot_TOC,DisTot
Local,1995,4,201592.39572327,110290.913693835,1143.13940785064,1976322.10442068,661856811.764694
Local,1996,1,104498.101080164,67649.0858010261,612.781760392076,635632.948144602,317536501.368424
Local,1996,2,396346.016351774,248302.973186372,2051.71796495476,2924204.37073946,975635854.120939
Local,1996,3,154258.650628761,85195.3957391604,1206.58861628247,1341104.55224556,517052888.186749
Local,1996,4,318619.533887163,166495.322835851,2389.66160989667,3487425.65052057,911054017.807786
Local,1997,1,250860.287396381,155144.131925086,1977.58042149307,2015197.49935554,764876929.818901
Local,1997,2,269401.311824954,147069.667101294,2655.78043194795,2491394.17319789,1008239037.8474
Local,1997,3,199213.506627285,89654.6976458648,2119.17316938402,2084417.81230646,755027827.81538
Local,1997,4,332878.74291416,185300.625686755,2937.553173483,3397213.4790945,937790175.011826
Local,1998,1,309921.141324897,188959.820806631,2381.81826988785,2781519.57225159,924393785.692808
Local,1998,2,487979.409048131,284619.40988927,6213.08204484983,4465727.10643493,1403752862.96845
Local,1998,3,308763.33605339,141611.791695853,5729.04061301971,3154299.06911128,901135354.237408
Local,1998,4,304578.609744599,157375.056332678,2782.13449868122,2890643.21468823,880079831.710148
Local,1999,1,304474.306738825,188009.40219167,2882.84799807883,2187149.99761428,902978580.440413
Local,1999,2,542880.749049612,312863.693715547,6302.89462016817,4811748.10101999,1733082835.85796
Local,1999,3,291013.41464927,157381.6001667,3936.13821538324,2570886.41761367,1067228421.70556
Local,1999,4,354262.099045445,182895.139884066,3185.40011100776,3547517.65967352,1113583957.22026
Local,2000,1,311254.208116218,183214.981628867,3310.56524024087,2368775.3723321,925683227.779312
Local,2000,2,452682.467471473,233186.672180296,6287.14340030691,3257625.25193851,1257683184.42426
Local,2000,3,348634.429217548,127052.558516487,6121.41019185795,2890361.14150971,950298923.4866
Local,2000,4,974401.279171438,470609.407933496,24359.2497122848,11493786.3370111,3043738617.95196
Local,2001,1,357236.746062153,211646.81689261,9971.73741058709,3062416.58341095,1087425318.56669
Local,2001,2,506070.880160585,284553.066062943,16391.1898703294,4384171.28973131,1522501565.26696
Local,2001,3,232395.177640523,108145.199860459,10068.5101076289,2336540.77999457,821435886.712763
Local,2001,4,399663.988680665,186080.654074704,16905.5402657425,5309180.67989022,1252493711.97656
Local,2002,1,276155.052963938,155342.69954699,13193.7447621254,2631027.64587089,874406613.937527
Local,2002,2,437430.190963164,193679.823049754,20999.2648821632,4547947.95751135,1254481161.60264
Local,2002,3,198949.036008733,86026.8578532279,12393.1512193528,2220616.3014945,687753324.813633
Local,2002,4,228983.156982039,113210.299518593,6169.34921286723,2400720.90748512,637703062.195465
Local,2003,1,267640.234858266,158154.052179915,5666.38741330406,2315699.57750135,746476884.027566
Local,2003,2,552591.176052474,298274.399877852,12102.3698026345,5626016.90194008,1614059824.63966
Local,2003,3,215412.408151712,98572.9349023958,5695.75363690495,2324736.48032313,769326826.746125
Local,2003,4,274978.151933837,130111.847489243,6038.41677889841,2905292.26032359,824152987.5829
Local,2004,1,313259.237776458,196084.784502323,6438.81439642688,2885474.18840019,909444429.529933
Local,2004,2,374534.507458845,198284.104289314,8411.2252123086,3894513.45950192,1204711939.32464
Local,2004,3,228038.352092362,99685.6570002267,6006.0636484387,2897910.198269,874657847.257726
Local,2004,4,330590.589443939,144768.448879126,7551.2573858248,4520099.32379589,1113028102.59014
Local,2005,1,212756.93697769,122639.41839603,5191.88153550421,2340479.86640582,782412147.397049
Local,2005,2,234183.169301922,123740.008584403,5671.43890439088,2599347.0432794,865312838.159993
Local,2005,3,127266.383278008,52312.7534346646,3327.09301211255,1505576.71558446,518173574.050013
Local,2005,4,268701.443432482,128151.440102057,5519.69771568303,3753059.55273899,877504977.481925
Local,2006,1,128517.017251924,74897.840330642,2540.28555953894,1250081.51563419,417560478.334865
Local,2006,2,514362.944235727,257925.889027607,9330.73829227724,5708047.83686742,1550321761.58287
Local,2006,3,233027.909742581,89782.0388342635,4975.02982528191,4510885.77998935,763488345.508748
Local,2006,4,492451.240220527,221056.408507534,23920.5785225385,8244741.27947887,1670342133.6146
Local,2007,1,366175.350505258,195294.625531527,7474.39942871625,4158339.33669208,1210607761.83403
Local,2007,2,265151.974393986,133663.369667412,3893.11075347762,2783851.30773279,910227411.396908
Local,2007,3,211857.965850076,107981.391802451,2801.99890010013,3439010.36885257,921257702.991115
Local,2007,4,173123.51656331,78576.0705501476,4483.20935411785,1773655.60646599,508181716.978296
Local,2008,1,389120.138603072,238306.375043168,8425.54185892,5619331.95564178,1551223740.00676
Local,2008,2,447656.096270464,238682.212153678,4847.68283913163,4862176.07655685,1584260378.30432
Local,2008,3,227514.460897317,104446.25318683,2938.39118451126,3235304.91797201,989908933.265013
Local,2008,4,355851.419473748,127482.621747921,3457.1113058208,3348189.06628088,978537268.548705
Local,2009,1,233049.005364023,114312.823442405,1830.82922348035,2302764.71822686,736003936.181287
Local,2009,2,284089.934099731,182458.716728193,3828.85709995428,3885266.8536904,1336589205.89967
Local,2009,3,257440.525559646,101896.613144736,3990.31136204179,4253789.38495402,1067745535.42779
Local,2009,4,487924.040653978,187999.788140285,12062.9458818123,6742958.53028118,1465279069.53008
Local,2010,1,153402.80963421,80093.3372384813,3219.35282038311,1786271.73214519,498158958.196747
Local,2010,2,319569.804916261,159902.060525147,3518.42311956665,4141924.11019903,1148968468.75274
Local,2010,3,198509.224303729,71007.8067397029,4126.03875269997,3180959.01120836,701565711.751148
Local,2010,4,304776.941378599,128726.31515233,7206.24059190222,4729804.06435576,840018169.032479
Local,2011,1,123674.356398271,70407.724413775,520.089286097469,1520086.20380634,403119874.700169
Local,2011,2,331520.524071573,153698.688965971,5538.53014115438,6015347.6049286,1270575155.60502
Local,2011,3,493329.337907477,159126.480039748,6199.23230124092,8502090.31931963,1640516323.19709
Local,2011,4,286462.985927772,120927.401731129,3560.76186129582,3855340.71383358,911812888.031532
Local,2012,1,259121.587271653,136703.529273563,2624.0279878378,2713125.7244105,910903455.074226
Local,2012,2,293765.232479867,136940.684087766,3546.57309643607,3183429.50510057,943601620.526756
Local,2012,3,242415.98031992,107961.208776028,2509.88089415736,2687893.53179024,728101494.543356
Local,2012,4,434100.297343025,194925.11174685,4723.18153051982,4958050.43450207,1216806195.299
Local,2013,1,185452.298372481,86906.7775629749,1915.59255650696,2091240.91061656,500248335.088813
Local,2013,2,582478.76197541,255604.399812189,5441.17016761499,7367510.17123153,1756567205.02068
Local,2013,3,184163.65289771,78479.1198176116,2436.39186909248,2394303.07026858,694231133.228996
Local,2013,4,267349.479052093,124883.800871383,2520.6132878797,3417844.70624286,990768493.061166
Local,2014,1,590792.86538936,302624.192821818,4792.11131636527,6717737.52031658,1943182965.99126
Local,2014,2,309625.172095158,159121.712565346,2372.46708225379,3455064.04137181,1207941849.60845
Local,2014,3,289406.230063278,86440.0093514229,5736.81087566842,4237473.78832513,954423446.99237
Local,2014,4,538570.762534218,157593.257335574,13144.8012697275,7665608.56121429,1536956002.14922
Local,2015,1,369771.988910092,168626.440691792,2581.80800071667,4140119.23960736,1145489029.13653
Local,2015,2,318241.810547673,125962.477976692,6761.27688273037,4094947.16486742,1159014465.5837
Local,2015,3,464568.543903783,122426.658213993,6846.79332903101,7278266.24603286,1541444178.70901
Local,2015,4,126691.41651714,41936.1039215182,1769.48726509909,1861948.8640539,1060691698.00613
Local,2016,1,0,0,0,0,1110019118.38676
Local,2016,2,0,0,0,0,1165372355.89979
Local,2016,3,0,0,0,0,656232394.558455
Local,2016,4,0,0,0,0,638254832.032034
